Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,SFGUILLENA,100,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,PALMASAETI,100,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FGST150,100,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EPRADA2,100,1,ES,,,WTON,WIN,1,0,0,1.125,1.125,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_BIO_STUR_ES,708,1,ES,,,STUR,BIO,0.45,8,6,0.011160714,0.011160714,2000,,0,0.2,0.45,0,0,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_GAS_COMC_ES,5175,1,ES,,,COMC,GAS,0.525,5,1,0.005571072,0.005571072,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_HRD_STUR_ES,1403,1,ES,,,STUR,HRD,0.395,8,6,0.003597122,0.003597122,117242.17,,0,0.3,0.395,7,0.95,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_OIL_STUR_ES,704,1,ES,,,STUR,OIL,0.41,8,6,0.00729927,0.00729927,35280.965,,0,0.3,0.41,7,0.79,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_OTH_STUR_ES,409,1,ES,,,STUR,OTH,0.3,4,4,0.02,0.02,,0,0,0.5,0.3,0,0,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_WAT_HDAM_ES,790,1,ES,,,HDAM,WAT,0.85,0,0,0.164533821,0.164533821,0,,0,0,0.85,0.3,0,,,,,,,,,55300,0,0,0,,,,,,,,
,Dispa-SET_WAT_HROR_ES,1155,1,ES,,,HROR,WAT,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_WST_STUR_ES,546,1,ES,,,STUR,WST,0.465,7.335,7.335,1.813483146,1.813483146,0,,0,0.3,0.465,0,0,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_WIN_WTON_ES,9202,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_SUN_PHOT_ES,14769,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
